FINALS RESULTS
Position: 17

Games:        11910

2p Games:     3622   (an extra 247 games against DQ'd players ignored)
Wins:         2490
Losses:       1132

Rushes:       1455
Wins:         1279   (87.9%)
Losses:       176

Non-Rushes:   2167
Wins:         1211   (55.9%)
Losses:       956

--------------------------------------------------
Rush Results Only (2p games, < 10 ships produced):

9521906    X  alexander-mol
9521501  O    alexander-mol
9521119  O    ipost
9520854  O    dhallstr
9520842  O    alexander-mol
9520445  O    klyd3r
9520440  O    ipost
9520133    X  Rachol
9520117    X  RyanDraves
9519991  O    AzureFractal
9519671    X  RyanDraves
9519414  O    RyanDraves
9519345  O    spelljack
9519324  O    dhallstr
9519060  O    lumpa
9518866  O    RyanDraves
9518744  O    succcubbus
9518324    X  coleholcomb
9517312  O    dhallstr
9517121  O    skippybodbot
9517096  O    AzureFractal
9516956  O    alexander-mol
9516447  O    dhallstr
9516290  O    alexander-mol
9516075  O    spelljack
9516021    X  ebretl
9516019  O    AzureFractal
9515733  O    coleholcomb
9515100  O    kindanoob
9514875  O    FiodorG
9514345  O    alexander-mol
9514211  O    RyanDraves
9513494  O    huizew
9513420  O    spelljack
9513314  O    ericzhang98
9512946  O    klyd3r
9512865  O    Rachol
9512552    X  ewirkerman
9512539  O    AzureFractal
9512498  O    kindanoob
9512063  O    AzureFractal
9511908  O    kindanoob
9511784  O    spelljack
9511525  O    alexander-mol
9511437  O    alexander-mol
9511313  O    klyd3r
9510614  O    succcubbus
9509700  O    kindanoob
9509408  O    AzureFractal
9508698  O    klyd3r
9508492  O    klyd3r
9508346    X  ipost
9507806    X  alexander-mol
9506307    X  cdurbin
9506298    X  alexander-mol
9506286  O    RyanDraves
9505375  O    AzureFractal
9505353  O    kindanoob
9504422  O    RyanDraves
9504300  O    succcubbus
9504077    X  ipost
9503460  O    dhallstr
9503303  O    ipost
9503210  O    AzureFractal
9502755  O    succcubbus
9502376  O    klyd3r
9501880  O    kindanoob
9501779  O    kindanoob
9501510  O    ipost
9501442  O    alexander-mol
9501351  O    AzureFractal
9501209  O    dhallstr
9500668  O    AzureFractal
9500498  O    AzureFractal
9500014  O    AzureFractal
9499520  O    alexander-mol
